Gröna Dalens Vildhästar,5,7,0,1135
Gooberville Sea Lions,5,7,0,1013
Solna Big Moose,3,9,0,889
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Saltis 73'ers,9,3,0,1244
Lindesberg Latecomers,9,3,0,1137
Hjorthagen Highlanders,7,5,0,1133
Bagarmossen Barbarians,4,8,0,1002
Vendelso Villains,3,9,0,1074
PERIOD 13: 11/28/17 - 12/4/17 MATCHUPS,@,RESULTS,,
Vendelso Villains (W),Bagarmossen Barbarians (L),95.0 - 68.0,,
Saltis 73'ers (L),Lindesberg Latecomers (W),95.0 - 103.0,,
Nya Englands Patrioter (W),Danderyd Dragons (L),105.0 - 98.0,,
Hjorthagen Highlanders (W),Solna Big Moose (L),89.0 - 78.0,,
Gooberville Sea Lions (W),Gröna Dalens Vildhästar (L),113.0 - 101.0,,
